,lat,lon,alt
374,-74.708542,40.831188,0
375,-74.050102,40.164921,0
376,-73.292862,40.816238,0
377,-73.461075,41.08083,0
378,-74.706843,40.883858,0
379,-73.936668,41.270588,0
380,-73.712227,41.227966,0
381,-73.263778,40.750531,0
382,-73.45179,41.093704,0
383,-74.47304,40.268173,0
384,-74.758039,40.618767,0
385,-73.247177,40.780628,0
386,-74.232628,40.158871,0
387,-74.593452,40.336636,0
388,-74.720139,40.934494,0
389,-74.068489,40.124138,0
390,-73.835523,41.290097,0
391,-73.225479,40.728313,0
392,-73.244034,40.84861,0
393,-74.580307,41.116673,0
394,-73.417128,41.11839,0
395,-74.542982,40.268568,0
396,-73.868095,41.312363,0
397,-73.425034,41.137642,0
398,-74.125331,41.317789,0
399,-73.204437,40.790497,0
400,-74.29554,40.138977,0
401,-74.17775,41.319218,0
402,-73.198982,40.828831,0
403,-73.384857,41.127808,0
404,-74.824219,40.840904,0
405,-73.17858,40.800597,0
406,-74.047909,40.079874,0
407,-74.428131,40.158051,0
408,-74.117424,40.076824,0
409,-73.341911,41.138012,0
410,-73.157524,40.859624,0
411,-74.265289,40.08366,0
412,-74.141785,40.061356,0
413,-74.744499,41.06805,0
414,-73.755479,41.347942,0
415,-73.962646,41.374901,0
416,-73.118912,40.752884,0
417,-74.281898,41.355118,0
418,-74.853806,40.499882,0
419,-74.895591,40.640285,0
420,-73.110709,40.784519,0
421,-74.223091,40.043941,0
422,-73.106514,40.82626,0
423,-74.707581,40.273331,0
424,-74.637592,40.198376,0
425,-74.684163,40.233051,0
426,-74.148186,40.009037,0
427,-73.256017,41.146307,0
428,-73.256592,41.147945,0
429,-73.072678,40.859695,0
430,-73.244774,41.149143,0
431,-74.744362,40.246207,0
